FORMAT: ID | PRODUCT NAME | FOLDER TO ADD IMAGE
hw-0843 | HDPE TEE 1½*25MMPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-0844 | HDPE TEE 1½*20MMPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-0845 | HDPE TEE 1¼*32MMPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-0846 | HDPE TEE 1¼*25MMPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-0847 | HDPE TEE 1¼*20MMPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-0848 | HDPE TEE 1"*25MM | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-0849 | HDPE TEE 1"*20MM | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-0850 | HDPE TEE ¾*20MM | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-0851 | HDPE COUPLING 63MPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-0856 | HDPE COUPLING 50MPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-0860 | HDPE COUPLING 40MPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-0863 | HDPE COUPLING 32MPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-0865 | HDPE COUPLING 25MPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-0866 | HDPE M.ADAPTER/SOPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-0872 | HDPE F.ADAPTER/SOPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-0877 | HDPE FEMALE SOCKEPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1356 | HYDRAULIC MALPHAPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/general-hardware
hw-1357 | NON HYDRAULIC MAPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/general-hardware
hw-1358 | OXFORD HINGES SILVPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/hardware-fasteners
hw-1359 | OXFORD HINGES GOLPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/hardware-fasteners
hw-1360 | OXFORD HINGES ALUPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/hardware-fasteners
hw-1361 | BUTTERFLY HINGES | /home/kali/Desktop/NJAWAMU/src/assets/images/products/hardware-fasteners
hw-1364 | PANOL HINGES | /home/kali/Desktop/NJAWAMU/src/assets/images/products/hardware-fasteners
hw-1365 | ORDINARY HINGES 1"PC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/hardware-fasteners
hw-1366 | ORDINARY HINGES 1½PC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/hardware-fasteners
hw-1367 | ORDINARY HINGES 2"PC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/hardware-fasteners
hw-1368 | ORDINARY HINGES 2½PC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/hardware-fasteners
hw-1369 | ORDINARY HINGES 3"PC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/hardware-fasteners
hw-1370 | ORDINARY HINGES 4"PC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/hardware-fasteners
hw-1371 | STANLEY HINGES 4.5/PC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/hardware-fasteners
hw-1372 | STANLEY HINGES 4"/1PCS | /home/kali/Desktop/NJAWAMU/src/assets/images/products/hardware-fasteners
hw-3709 | GATE HINGES | /home/kali/Desktop/NJAWAMU/src/assets/images/products/hardware-fasteners
hw-1230 | ORDINARY SHEETS 2½PC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/building-materials
hw-1231 | ORDINARY SHEETS 2MPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/building-materials
hw-1232 | ORDINARY SHEETS 3MPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/building-materials
hw-1235 | ORDINARY CORRUGAPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/general-hardware
hw-1238 | BOX PROFILE SHEETSPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/iron-sheets
hw-1278 | KUKU NET ¾ | /home/kali/Desktop/NJAWAMU/src/assets/images/products/hardware-fasteners
